date,tweet,word_count,tokens,tokens_count
2019-10-01,"To fair, I’ve terrified singing public bc I hate voice it’s bad. Wow well.... puppy cuddles?? I always get soy milk mine taste better. But it’s still mediocre. Ah. They’re kind people. Is way frame like you’re taking charge responsibility? Like you’re favor? What I would suggest alternative. People like solutions. Like Zu something, I put somewhere quiet (a room, move around) let calm. It help lot. Wasn’t hobby lobby also anti-lgbt+?? I never would guessed it’s native language! You’re amazing!",81,"['To', 'fair,', 'I’ve', 'terrified', 'singing', 'public', 'bc', 'I', 'hate', 'voice', 'it’s', 'bad.', 'Wow', 'well....', 'puppy', 'cuddles??', 'I', 'always', 'get', 'soy', 'milk', 'mine', 'taste', 'better.', 'But', 'it’s', 'still', 'mediocre.', 'Ah.', 'They’re', 'kind', 'people.', 'Is', 'way', 'frame', 'like', 'you’re', 'taking', 'charge', 'responsibility?', 'Like', 'you’re', 'favor?', 'What', 'I', 'would', 'suggest', 'alternative.', 'People', 'like', 'solutions.', 'Like', 'Zu', 'something,', 'I', 'put', 'somewhere', 'quiet', '(a', 'room,', 'move', 'around)', 'let', 'calm.', 'It', 'help', 'lot.', 'Wasn’t', 'hobby', 'lobby', 'also', 'anti-lgbt+??', 'I', 'never', 'would', 'guessed', 'it’s', 'native', 'language!', 'You’re', 'amazing!']",81
2019-10-02,"Alan Cummings The murder I would commit, lemme tell you.",10,"['Alan', 'Cummings', 'The', 'murder', 'I', 'would', 'commit,', 'lemme', 'tell', 'you.']",10
2019-10-04,Me: it’s casual Friday! I’m going wear comfy light gray sweater! Work: we’re tye-dying shirt todayMe: 😫😫😫,17,"['Me:', 'it’s', 'casual', 'Friday!', 'I’m', 'going', 'wear', 'comfy', 'light', 'gray', 'sweater!', 'Work:', 'we’re', 'tye-dying', 'shirt', 'todayMe:', '😫😫😫']",17
2019-10-06,Just move mouth lollll So pretty!!!!! Oh gosh I love too! Thank beautiful message. I’m glad became friend ❤️❤️❤️❤️❤️,19,"['Just', 'move', 'mouth', 'lollll', 'So', 'pretty!!!!!', 'Oh', 'gosh', 'I', 'love', 'too!', 'Thank', 'beautiful', 'message.', 'I’m', 'glad', 'became', 'friend', '❤️❤️❤️❤️❤️']",19
2019-10-08,"Hmu need ink 😉💗💗 Peeps, I open business, tell want I make happen. And I would honored art physical beings!!!! You rebel 😍 Be careful, cuz I’m gonna marry keep saying lovely things!!!!!! That legitimately best compliment I’ve ever gotten!!! Thank much 💖💖💖 I feel like I physically cannot eat it’s unlike me? I think it’s medication damn.",58,"['Hmu', 'need', 'ink', '😉💗💗', 'Peeps,', 'I', 'open', 'business,', 'tell', 'want', 'I', 'make', 'happen.', 'And', 'I', 'would', 'honored', 'art', 'physical', 'beings!!!!', 'You', 'rebel', '😍', 'Be', 'careful,', 'cuz', 'I’m', 'gonna', 'marry', 'keep', 'saying', 'lovely', 'things!!!!!!', 'That', 'legitimately', 'best', 'compliment', 'I’ve', 'ever', 'gotten!!!', 'Thank', 'much', '💖💖💖', 'I', 'feel', 'like', 'I', 'physically', 'cannot', 'eat', 'it’s', 'unlike', 'me?', 'I', 'think', 'it’s', 'medication', 'damn.']",58
2019-10-09,Wow absolute fuckass But.... Yessssss congrats milestone!!!,7,"['Wow', 'absolute', 'fuckass', 'But....', 'Yessssss', 'congrats', 'milestone!!!']",7
2019-10-11,This is... disappointing.,3,"['This', 'is...', 'disappointing.']",3
2019-10-12,I do! Mine help lot relaxing sleep. I’ve hunkered survived many anxiety attack thing.,14,"['I', 'do!', 'Mine', 'help', 'lot', 'relaxing', 'sleep.', 'I’ve', 'hunkered', 'survived', 'many', 'anxiety', 'attack', 'thing.']",14
2019-10-14,Ok I don’t know I would die Tabasco Josie.,9,"['Ok', 'I', 'don’t', 'know', 'I', 'would', 'die', 'Tabasco', 'Josie.']",9
2019-10-16,OMG I WAS ALSO THINKING OF MINDHUNTER This sound like discovery serial killer something????,14,"['OMG', 'I', 'WAS', 'ALSO', 'THINKING', 'OF', 'MINDHUNTER', 'This', 'sound', 'like', 'discovery', 'serial', 'killer', 'something????']",14
2019-10-18,LOL Right.,2,"['LOL', 'Right.']",2
2019-10-19,"Bitch come Mexico meeeee. I’ll hide u purse. Truth!!!!! This first hot girl pic I’ve gotten year. Actually? It’s Madame. I strive effortlessly glamorous you, darling.",26,"['Bitch', 'come', 'Mexico', 'meeeee.', 'I’ll', 'hide', 'u', 'purse.', 'Truth!!!!!', 'This', 'first', 'hot', 'girl', 'pic', 'I’ve', 'gotten', 'year.', 'Actually?', 'It’s', 'Madame.', 'I', 'strive', 'effortlessly', 'glamorous', 'you,', 'darling.']",26
2019-10-21,"Yes, absolutely!!!!!!",2,"['Yes,', 'absolutely!!!!!!']",2
2019-10-22,"Hell yes girl, get creativity.",5,"['Hell', 'yes', 'girl,', 'get', 'creativity.']",5
2019-10-27,MA’AM,1,['MA’AM'],1
2019-10-28,Hahaha fucking confused.,3,"['Hahaha', 'fucking', 'confused.']",3
2019-10-31,"Bitch love you!!!! God dammit man, I haven’t even coffee. Proud you! We love",14,"['Bitch', 'love', 'you!!!!', 'God', 'dammit', 'man,', 'I', 'haven’t', 'even', 'coffee.', 'Proud', 'you!', 'We', 'love']",14
2019-11-01,Wow really said fuck kid whole chest. Is hunger games?,10,"['Wow', 'really', 'said', 'fuck', 'kid', 'whole', 'chest.', 'Is', 'hunger', 'games?']",10
2019-11-02,,1,[''],1
2019-11-05,I’m also accepting death animal uprising.,6,"['I’m', 'also', 'accepting', 'death', 'animal', 'uprising.']",6
